ID,name,address,site_url,has_bomboniere,has_sessions,id,latitude,longitude
E5826,Kinoplex Shopping Boulevard RJ,"R. Barao de Sao Francisco, 236 - Vila Isabel",https://www.ingresso.com/cinema/kinoplex-shopping-boulevard-rj?city=rio-de-janeiro&partnership=home,true,true,029713c4-cb8e-4b7a-aad4-cc62c19feed7,-22.91472,-43.24996
P9589,Cinesystem Belas Artes Botafogo,"Praia de Botafogo, 316 - Botafogo",https://www.ingresso.com/cinema/cinesystem-belas-artes-botafogo?city=rio-de-janeiro&partnership=home,true,true,0e181563-8258-4f26-ad68-7e54e2a1f352,-22.94496,-43.18231
B7703,Cinemark Botafogo,"Praia de Botafogo, 400 - Botafogo",https://www.ingresso.com/cinema/cinemark-botafogo?city=rio-de-janeiro&partnership=home,true,true,0e601f14-6e5d-44d7-8552-7bfb3e72cfba,-22.94741,-43.18252
C1676,Kinoplex Shopping Leblon,"Av. Afrânio de Melo Franco, 290 - Leblon",https://www.ingresso.com/cinema/kinoplex-shopping-leblon?city=rio-de-janeiro&partnership=home,true,true,10291482-491e-4135-a56f-358d3dc54149,-22.9821,-43.21797
D7758,Kinoplex Fashion Mall,"Estrada da Gávea, 899 - São Conrado",https://www.ingresso.com/cinema/kinoplex-fashion-mall?city=rio-de-janeiro&partnership=home,true,true,1288b206-ad2d-4075-845c-a416485adb76,-22.99616,-43.25961
G7285,UCI Park Campo Grande,"Estrada do Monteiro, 1200 - Campo Grande",https://www.ingresso.com/cinema/uci-park-campo-grande?city=rio-de-janeiro&partnership=home,true,true,1422e181-0162-47a4-ba8d-7c9ca091d23c,-22.92861,-43.57363
O5863,CineCarioca José Wilker,"RUA DAS LARANEJIRAS, 307 - Laranjeiras",https://www.ingresso.com/cinema/cinecarioca-jose-wilker?city=rio-de-janeiro&partnership=home,false,true,1a6b03a9-28bc-461c-8717-ba6013ae95d6,-10.80511,-37.16672
D6056,Kinoplex RioSul,"Av. Lauro Sodré, 445 - Botafogo",https://www.ingresso.com/cinema/kinoplex-riosul?city=rio-de-janeiro&partnership=home,true,true,1c11fadd-52e5-4ded-b3a2-b8e27612979e,-22.95722,-43.17725
T8711,Cine Araújo Jardim Guadalupe,"AV BRASIL, 22155 - Guadalupe",https://www.ingresso.com/cinema/cine-araujo-jardim-guadalupe?city=rio-de-janeiro&partnership=home,true,true,25be1ecf-9702-4ecc-89ca-bb3e53de23b6,-22.84131,-43.37076
M0396,UCI Park Jacarepagua,"Estrada de Jacarepagua, 6069 - Jacarepaguá",https://www.ingresso.com/cinema/uci-park-jacarepagua?city=rio-de-janeiro&partnership=home,true,true,276f7d99-95ea-4011-af7c-ba2ac1ae6680,-22.95395,-43.33777
