ID,name,address,type,rating,price,latitude,longitude
A1183,Fabuloso Centro,"Rua da Assembléia, 77C - Centro, Rio de Janeiro",hamburguer,,,-22.90521,-43.17644
M9270,Pura Burguer,"Rua Dezenove de Fevereiro, 53 - Botafogo, Rio de Janeiro",hamburguer,,,-22.9512,-43.18736
X2548,Sult,"Rua Fernandes Guimarães, 77 - Botafogo, Rio de Janeiro",italian,,,-22.95566,-43.18196
I2385,Arataca,"Rua Lopes Quintas, 147 - Jardim Botânico, Rio de Janeiro",brazilian,,,-22.9648,-43.21997
J1156,Broto,"Rua Major Ávila, 456 - Tijuca, Rio de Janeiro",pizza,,,-22.91986,-43.23389
H7936,Broto,"Rua Álvaro Ramos, 171 - Botafogo, Rio de Janeiro",pizza,,,-22.95651,-43.18178
O8004,Ocyá,"Rua Aristides Espínola, 88 - Leblon, Rio de Janeiro",other,,,-22.98548,-43.22738
C4938,Toto,"Rua Joana Angélica, 155 - Ipanema, Rio de Janeiro",other,,,-22.98293,-43.20487
M1742,Jappa da Quitanda,"Rua Barão da Torre, 422 - Ipanema, Rio de Janeiro",asian,,,-22.98305,-43.20714
P0592,Pici,"Rua Barão da Torre, 348 - Ipanema, Rio de Janeiro",italian,,,-22.98319,-43.20523
R2514,Major Grill,"Rua Major Ávila, 409 - Tijuca, Rio de Janeiro",brazilian,,,-22.92037,-43.23371
Y3099,Vikings,"Av.Pastor Martin Luther King Jr, 126 - Del Castilho",other,,,-22.87905,-43.27186
W6040,Vikings,"Avenida Almirante João Cândido Brasil, 86 - Tijuca, Rio de Janeiro",other,,,-22.9189,-43.23551
L2096,TMaki Club,"Rua Almirante João Candido Brasil, 90 - Tijuca, Rio de Janeiro",asian,,,-22.91883,-43.23562
J8022,TMaki Club,"Rua Uruguai, 218B - Tijuca, Rio de Janeiro",asian,,,-22.92725,-43.24453
K0579,TMaki Club,"Rua Anibal de Mendonça, 55 loja F - Ipanema, Rio de Janeiro",asian,,,-22.98477,-43.21138
F1076,Toca da Traíra,"Rua do Ouvidor, 70 - Centro, Rio de Janeiro",brazilian,,,-22.90286,-43.17666
T6205,Toca da Traíra,"Rua Mariz e Barros, 1050 - Tijuca, Rio de Janeiro",brazilian,,,-22.91742,-43.22344
X1252,Toca da Traíra,"Av. Lúcio Costa, 8000 - Barra, Rio de Janeiro",brazilian,,,-23.01079,-43.3697
R7607,Demi Glace Lavradio,"Rua do Lavradio, 100 - Lapa, Rio de Janeiro",brazilian,,,-22.91046,-43.1829
M8502,Demi Glace Centro,"Rua Gonçalves Dias, 56 - Centro, Rio de Janeiro",brazilian,,,-22.90465,-43.17914
Q5457,Bucaneiros,"Rua Major Ávila, 200 - Tijuca, Rio de Janeiro",hamburguer,,,-22.92195,-43.23317
M7779,Lareira Original,"Rua Major Ávila, 185 - Tijuca, Rio de Janeiro",brazilian,,,-22.92225,-43.23306
Q3824,Dark Coffee,"Rua Santo Afonso, 215, Loja C - Tijuca, Rio de Janeiro",other,,,-22.92319,-43.23301
G2293,Magna Cozinha,"Rua Almirante Cochrane, 288, Loja B - Tijuca, Rio de Janeiro",vegan,,,-22.92283,-43.2312
O5446,Ludogrill,"Rua Uruguai, 266 - Tijuca, Rio de Janeiro",hamburguer,,,-22.9287,-43.24355
G9989,Maguje,"Rua Jardim Botânico, 1003 - Jardim Botânico, Rio de Janeiro",brazilian,,,-22.9647,-43.21793
Q2846,Massa + Ella,"Rua Dias Ferreira, 617 - Leblon, Rio de Janeiro",italian,,,-22.98201,-43.22447
E6139,Casa Velha,"Av. dos Democráticos, 1809 - Bonsucesso, Rio de Janeiro",brazilian,,,-22.86817,-43.25801
K7411,Casa Velha Sushi,"Av. Itaóca, 296 - Bonsucesso, Rio de Janeiro",asian,,,-22.86775,-43.25783
